Y_test,Y_pred,accuracy
今日 暫時 新 加 肺 炎 沒 全部 計算 有 十 三 仍然,今日 暫時 新 加 肺 炎 沒 全部 計算 有 十 三 仍然,1.0
家 靠 媽媽 一 工作 收入 低 但是 口罩 加價,家 靠 媽媽 一 工作 收入 低 但是 口罩 加價,1.0
內地 新 肺 炎 確定 病 加 一 萬 一 千 八 百 全部 二 百 五 十 九 人 死亡 <X> 超 二 七 零 人 康復,內地 新 肺 炎 確定 病 加 一 萬 一 千 八 百 全部 二 百 五 十 九 人 死亡 <X> 超 二 七 零 人 康復,1.0
聯署 <X> 區域 議員 深水埗 區域 議員 估 最 快 星期 一 召集 緊急 開會 談,聯署 <X> 區域 議員 深水埗 區域 議員 估 最 快 星期 一 召集 緊急 開會 談,1.0
歲 二 十 英國 年輕 名字 O 說 脫離 歐洲 英國 會 自 權 能,歲 二 十 英國 年輕 名字 O 說 脫離 歐洲 英國 會 自 權 能,1.0
真 報紙 著名 嚇 有關 多 勝過 林 有 錯失 比 勝過 加 變 上升 第 三 有 <MUMBLE> 有 <MUMBLE> 喜歡,真 報紙 著名 嚇 有關 多 勝過 林 有 錯失 比 勝過 加 變 上升 第 三 有 <MUMBLE> 有 <MUMBLE> 喜歡,1.0
香港 仍然 一 五 新 人 肺 炎,香港 仍然 一 五 新 人 肺 炎,1.0
政府 做 不 外國 政府 覺得 香港 沒 事 感覺 另 國 跟 做 死亡 死亡,政府 做 不 外國 政府 覺得 香港 沒 事 感覺 另 國 跟 做 死亡 死亡,1.0
今 溫度 一 九 濕 百分比 七 四,今 溫度 一 九 濕 百分比 七 四,1.0
急 不 變 急 等 久 今 知 擔心 有 如果 去 前 有 某人 感染 有 我 去 不 說 真,急 不 變 急 等 久 今 知 擔心 有 如果 去 前 有 某人 感染 有 我 去 不 說 真,1.0
口罩 買 賣 有 區域 區域 看 通宵 看 天天 看,口罩 買 賣 有 區域 區域 看 通宵 看 天天 看,1.0
入境 人 入 真 地址 給我 告訴 要 如果 迫 住 這 全部 資料 寄 會 全部 資料 家人 分開 不要 但是 家人 探訪 不能,入境 人 入 真 地址 給我 告訴 要 如果 迫 住 這 全部 資料 寄 會 全部 資料 家人 分開 不要 但是 家人 探訪 不能,1.0
新聞 時間 看 香港 <MUMBLE> 情況,新聞 時間 看 香港 <MUMBLE> 情況,1.0
 嚴 管 有關 一 百 六 一 真 內 有 香港 人 一 百 四 三 人, 嚴 管 有關 一 百 六 一 真 內 有 香港 人 一 百 四 三 人,1.0
小心 處理 專業 建議 全部 船 內 員工 全部 新 肺 炎 化驗 評估,小心 處理 專業 建議 全部 船 內 員工 全部 新 肺 炎 化驗 評估,1.0
有 某些 取 票 不能 房 內 爭吵 浪費 我 時間 排隊 五 小時,有 某些 取 票 不能 房 內 爭吵 浪費 我 時間 排隊 五 小時,1.0
政府 做 有 考慮 清楚 要否 放 酒精 搓手 或者 防 其他 放 放 要否,政府 做 有 考慮 清楚 要否 放 酒精 搓手 或者 防 其他 放 放 要否,1.0
名字 名字 上 流 生 生 非 英文 電影 讚賞 好 電影,名字 名字 上 流 生 生 非 英文 電影 讚賞 好 電影,1.0
美國 組 法 控告 內地 軍 會 四 懷疑 信 入 資料 取 一 點 五 億 人 個人 資料 北京 外 <MUMBLE> 控告 反對,美國 組 法 控告 內地 軍 會 四 懷疑 信 入 資料 取 一 點 五 億 人 個人 資料 北京 外 <MUMBLE> 控告 反對,1.0
今 <MUMBLE> 懷疑 病 或者 衞生 細胞 病 毒 發燒 人 今 這 人 証實 接觸 人 這些 分離 分離 管理,今 <MUMBLE> 懷疑 病 或者 衞生 細胞 病 毒 發燒 人 今 這 人 証實 接觸 人 這些 分離 分離 管理,1.0
部分 人 香港 証實 証實 証實 可能 要 等 兩 星期 至 三 星期 後 入院 這 完 走 能,部分 人 香港 証實 証實 証實 可能 要 等 兩 星期 至 三 星期 後 入院 這 完 走 能,1.0
另 的士 司機 今 暫時 有 病 傳染,另 的士 司機 今 暫時 有 病 傳染,1.0
計算 昨天 第 一 批准 部分 船 人下船 有 另 五 百 人 船 人下船,計算 昨天 第 一 批准 部分 船 人下船 有 另 五 百 人 船 人下船,1.0
教育 屋 說 香港 全部 學校 最 早 三 月 十 六 日 復 課 但是 定 日期 我 看 情況 病 病 如何 學校 準備 遲 全部 口罩 清理 各種 準備 完成 再 決定,教育 屋 說 香港 全部 學校 最 早 三 月 十 六 日 復 課 但是 定 日期 我 看 情況 病 病 如何 學校 準備 遲 全部 口罩 清理 各種 準備 完成 再 決定,1.0
希望 大家 知道 剛才 多謝 國泰 飛機 員工,希望 大家 知道 剛才 多謝 國泰 飛機 員工,1.0
意大利 命令 完 飛機 接收 全部 船 內 人 返 意大利 發生 死亡 情況 一 死亡 地方 北 威 屬於,意大利 命令 完 飛機 接收 全部 船 內 人 返 意大利 發生 死亡 情況 一 死亡 地方 北 威 屬於,1.0
今年 一直 新界 北 說 便利店 打劫 打劫 加 十 一 拘捕 三 年輕 有關 多 打劫,今年 一直 新界 北 說 便利店 打劫 打劫 加 十 一 拘捕 三 年輕 有關 多 打劫,1.0
想 影響 混亂 研究 模糊 誤會 不同 人 全部 合作,想 影響 混亂 研究 模糊 誤會 不同 人 全部 合作,1.0
出錢 這 甚麼 人們 老 這些 加價 加價 後 或者 醫療 或者 社 福利 出錢 出錢 肯定 上升 會,出錢 這 甚麼 人們 老 這些 加價 加價 後 或者 醫療 或者 社 福利 出錢 出錢 肯定 上升 會,1.0
國 組 名字 名字 鍾 說 信心 能 內地 管 能 肺 肺 今 即刻 來源 內地 這 哪裡 來 肯定 內地 不一定,國 組 名字 名字 鍾 說 信心 能 內地 管 能 肺 肺 今 即刻 來源 內地 這 哪裡 來 肯定 內地 不一定,1.0
真 真 某些 專業 發現 新型冠狀 肺 炎 人 傳 人 容易 多 人 人 傳染 感染 少 直接 接觸 人 感染 少,真 真 某些 專業 發現 新型冠狀 肺 炎 人 傳 人 容易 多 人 人 傳染 感染 少 直接 接觸 人 感染 少,1.0
懷疑 有 兩 定 有 肺 炎 有 兩 懷疑 公主 鑽石 化驗 有 病 毒 防,懷疑 有 兩 定 有 肺 炎 有 兩 懷疑 公主 鑽石 化驗 有 病 毒 防,1.0
知道 有 過程 解剖 <BAD> 這 研究,知道 有 過程 解剖 <BAD> 這 研究,1.0
目的 鼓勵 自 控制 錢 支出 有 <MUMBLE> 想 申請 困難 最 困難 甚麼 找 錢 合理 有 貨 布 各種,目的 鼓勵 自 控制 錢 支出 有 <MUMBLE> 想 申請 困難 最 困難 甚麼 找 錢 合理 有 貨 布 各種,1.0
有 部分 工作 要 做 家 內 不 方便,有 部分 工作 要 做 家 內 不 方便,1.0
金 管 屋 說 樓 或者 反口 反口 真 真 要 時間 看 要否 給 容易 計劃 規則,金 管 屋 說 樓 或者 反口 反口 真 真 要 時間 看 要否 給 容易 計劃 規則,1.0
瞭解 詳細 康 文 全部 資源 附近 街 或者 地方 起名 名字 會 <MUMBLE>,瞭解 詳細 康 文 全部 資源 附近 街 或者 地方 起名 名字 會 <MUMBLE>,1.0
要 想 快 安排 返 香港 檢測 工 聯 會 建 規則 組 覺得 要 兩地 這裡 遠 要 接收 接收 返 香港 要,要 想 快 安排 返 香港 檢測 工 聯 會 建 規則 組 覺得 要 兩地 這裡 遠 要 接收 接收 返 香港 要,1.0
風 東 未來 兩 天 三 天 變 暖 早 晚 霧 有,風 東 未來 兩 天 三 天 變 暖 早 晚 霧 有,1.0
今 計算 全部 五 百 全部 計算 計算 超 一 半 西 北 地方,今 計算 全部 五 百 全部 計算 計算 超 一 半 西 北 地方,1.0
如果 一 點 四 死亡 百分之 意思 多 多 多,如果 一 點 四 死亡 百分之 意思 多 多 多,1.0
今 真 真 真 泊船 時間 不知 知 我們 急 快 送 回家,今 真 真 真 泊船 時間 不知 知 我們 急 快 送 回家,1.0
新 公開 有關 買 超 一 千 幾 千 倍 倍 真 名字 名字 興 有關 穩定 仍然 股票 高 二 十 百分比 <MUMBLE>,新 公開 有關 買 超 一 千 幾 千 倍 倍 真 名字 名字 興 有關 穩定 仍然 股票 高 二 十 百分比 <MUMBLE>,1.0
可能 有 部分 有 用 能 例如 聯絡 已經 海 關 同 事 幫 幫 有,可能 有 部分 有 用 能 例如 聯絡 已經 海 關 同 事 幫 幫 有,1.0
多 國 旅遊 限制 嚴重 影響 旅行團 公司 經濟 組 希望 政府 宣傳 多 另 補 解決 困難 方法 規則 計劃,多 國 旅遊 限制 嚴重 影響 旅行團 公司 經濟 組 希望 政府 宣傳 多 另 補 解決 困難 方法 規則 計劃,1.0
死亡 死亡 人 家 人 有關 人 說 道歉,死亡 死亡 人 家 人 有關 人 說 道歉,1.0
說 有否 機會 傳染 真 困難 說 入院 全部 控告 呼吸道 感染 情況 看 沒 發燒 沒,說 有否 機會 傳染 真 困難 說 入院 全部 控告 呼吸道 感染 情況 看 沒 發燒 沒,1.0
海 關 賣 賣 發現 四 口罩 菌 超 要求 拘捕 四 藥 房 負責人 說 全部 用 不能,海 關 賣 賣 發現 四 口罩 菌 超 要求 拘捕 四 藥 房 負責人 說 全部 用 不能,1.0
政府 說 有 關 各地 各地 各地 情況 會 看 如何 變 方法 會,政府 說 有 關 各地 各地 各地 情況 會 看 如何 變 方法 會,1.0
三 月 變 暖 多 各區 各區 各區 花 花 花 等 恢復 看 花,三 月 變 暖 多 各區 各區 各區 花 花 花 等 恢復 看 花,1.0
政府 快 下 星期 二 命令 第 二 飛機 到 湖北 香港 幹涉 接收 接收 武漢 武漢 城巿 全部 計算 計算 七 百 幾,政府 快 下 星期 二 命令 第 二 飛機 到 湖北 香港 幹涉 接收 接收 武漢 武漢 城巿 全部 計算 計算 七 百 幾,1.0
給 能 檢測 化驗 樣本樽 給 給 給 人人 能,給 能 檢測 化驗 樣本樽 給 給 給 人人 能,1.0
美國 推卸 責任 代 減 輕 美國 內 病 不 外 交 部 發表 說 提醒 美國 要 變 防 工作 處理 好,美國 推卸 責任 代 減 輕 美國 內 病 不 外 交 部 發表 說 提醒 美國 要 變 防 工作 處理 好,1.0
再 加 人 一 六 証實 肺 新型冠狀 再 包括 有 孕婦 計算 累計 超 二 百,再 加 人 一 六 証實 肺 新型冠狀 再 包括 有 孕婦 計算 累計 超 二 百,1.0
計算 全部 二 千 六 百 死亡 一 百 零 四 學校 星期 五 下午 即 課 停 五 月 六 月 考試 取消 取消 會 包括 中學 公開 這 考試,計算 全部 二 千 六 百 死亡 一 百 零 四 學校 星期 五 下午 即 課 停 五 月 六 月 考試 取消 取消 會 包括 中學 公開 這 考試,1.0
香港 股票 反 上升 一 千 一 星期 跌 半 一 樣,香港 股票 反 上升 一 千 一 星期 跌 半 一 樣,1.0
政府 權 林 月 說 要 真 限制 限制,政府 權 林 月 說 要 真 限制 限制,1.0
要 想 問 大家 善良 心 能 看 努力,要 想 問 大家 善良 心 能 看 努力,1.0
第 一 關 違反 命令 家 留 提訊 被告 假 地址 禁止 釋放 暫時,第 一 關 違反 命令 家 留 提訊 被告 假 地址 禁止 釋放 暫時,1.0
要求 全部 美國 入境 先 要 自 隔離 留,要求 全部 美國 入境 先 要 自 隔離 留,1.0
香港 有權力的人 林 月 行政 以前 會議 以前 說 名字 張 法 主 他 厲害,香港 有權力的人 林 月 行政 以前 會議 以前 說 名字 張 法 主 他 厲害,1.0
政府 努力 管理 情況,政府 努力 管理 情況,1.0
政府 電腦 各種 活動 管理 但是 工作 飛機 人 多 人 回來 上 星期 回來 人 每天 減少 昨天 三 千 過程 第 三 藍 牙 手帶 代替 最近 手帶 管理 手帶,政府 電腦 各種 活動 管理 但是 工作 飛機 人 多 人 回來 上 星期 回來 人 每天 減少 昨天 三 千 過程 第 三 藍 牙 手帶 代替 最近 手帶 管理 手帶,1.0
政府 繼續 考慮 給 飛機 接收 五 百 湖 北 人 回來 香港,政府 繼續 考慮 給 飛機 接收 五 百 湖 北 人 回來 香港,1.0
政府 繼續 兩 天 真 級 四 飛機 飛機 飛去 湖 北 接收 五 百 坐 香港 人 四 分 一 歲 十 六 以下,政府 繼續 兩 天 真 級 四 飛機 飛機 飛去 湖 北 接收 五 百 坐 香港 人 四 分 一 歲 十 六 以下,1.0
方便 時間 節省 能 事實 排隊 沒 清理 工作 很好,方便 時間 節省 能 事實 排隊 沒 清理 工作 很好,1.0
任何 人 想 好 工作 仍然 我們 聆聽 建議 視乎 知道 情況,任何 人 想 好 工作 仍然 我們 聆聽 建議 視乎 知道 情況,1.0
廣東 加強 出入 防 澳門 人 湧到 通宵 湧到 想 新 計劃 <MUMBLE> 以前 快 到 珠海 駐 澳門 記者 請看,廣東 加強 出入 防 澳門 人 湧到 通宵 湧到 想 新 計劃 <MUMBLE> 以前 快 到 珠海 駐 澳門 記者 請看,1.0
明早 轉 <MUMBLE> 東 北 至 東 北 未來 會 下雨 一 日 兩 日 濕 霧 早上 會 溫暖 現在 氣溫 二 十 五 濕度 八 十 八 百份比,明早 轉 <MUMBLE> 東 北 至 東 北 未來 會 下雨 一 日 兩 日 濕 霧 早上 會 溫暖 現在 氣溫 二 十 五 濕度 八 十 八 百份比,1.0
規矩 內 目的 甚麼 希望 想 人 聚集 禁止 <BAD> 防 傳染,規矩 內 目的 甚麼 希望 想 人 聚集 禁止 <BAD> 防 傳染,1.0
美國 冠狀 肺 炎 加 加 加 一 萬 九 千,美國 冠狀 肺 炎 加 加 加 一 萬 九 千,1.0
屋 政府 說 不知道 哪裡 來 發現 不能 加 遲 區域 看到 有 傳播,屋 政府 說 不知道 哪裡 來 發現 不能 加 遲 區域 看到 有 傳播,1.0
政府 今日 開始 禁止 <BAD> 超 四 人 <BAD> 外 聚集 多 區域 繼續 有 多 員工 聚集,政府 今日 開始 禁止 <BAD> 超 四 人 <BAD> 外 聚集 多 區域 繼續 有 多 員工 聚集,1.0
財政 負責 名字 C 波 說 <X> 兩 天 後 <X> 生意 賺 數 看 下降 繼續,財政 負責 名字 C 波 說 <X> 兩 天 後 <X> 生意 賺 數 看 下降 繼續,1.0
真 專注 甚麼 外 進來 病 加,真 專注 甚麼 外 進來 病 加,1.0
政府 說 肺 <X> 其他 感染 肺 康復 有時 進步 搬遷 另 一 個 檢測 中 心 給 房間 專門 派,政府 說 肺 <X> 其他 感染 肺 康復 有時 進步 搬遷 另 一 個 檢測 中 心 給 房間 專門 派,1.0
內地 現在 自 內地 內 肺 防 區域 其他 這 這 這 嚴 重 或者 這 國 給 支持 幫 幫 幫,內地 現在 自 內地 內 肺 防 區域 其他 這 這 這 嚴 重 或者 這 國 給 支持 幫 幫 幫,1.0
議員 覺得 這 美容 屋 內 有 傳染 危險 這 經濟 停 但是 組 他們 反對,議員 覺得 這 美容 屋 內 有 傳染 危險 這 經濟 停 但是 組 他們 反對,1.0
証實 肺 全世界 人 計算 計算 超 九 三 萬 四 萬 七 千 死亡 肺 最 嚴重 美國 一 日 加 二 萬 六 千,証實 肺 全世界 人 計算 計算 超 九 三 萬 四 萬 七 千 死亡 肺 最 嚴重 美國 一 日 加 二 萬 六 千,1.0
政府 財政司司長 名字 波 說 未來 六 個 月 經濟 不好 <BAD> 進步 不能 公司 或者 個人 自 準備 要,政府 多 名字 波 說 未來 六 個 月 經濟 不好 <BAD> 進步 不能 公司 或者 個人 自 準備 要,0.95
現在 有 擔心 繼續 分析 <MUMBLE> 要,現在 有 擔心 繼續 分析 <MUMBLE> 要,1.0
政府 三 月 二 十 九 日 開始 限制 聚集 <X> 四 人 限制 以前 聚集 禁止 屋 提醒 張貼 <X> 四 人 超 不能 聚集 有 街 人 不滿 荒謬,政府 三 月 二 十 九 日 開始 限制 聚集 <X> 四 人 限制 以前 聚集 禁止 屋 提醒 張貼 <X> 四 人 超 不能 聚集 有 街 人 不滿 荒謬,1.0
 病 肺炎 情況 延後 有關 抽 居屋 網上 說 直播, 病 肺炎 情況 延後 有關 抽 居屋 網上 說 直播,1.0
最後 看 天氣 雲 多 <X> 有時 大雨 今 晚上 明天 早上 清涼 最 低 溫度 十 六,最後 看 天氣 雲 多 <X> 有時 大雨 今 晚上 明天 早上 清涼 最 低 溫度 十 六,1.0
新聞 時間 繼續 關於 香港 情況 經濟,新聞 時間 繼續 關於 香港 情況 經濟,1.0
這 威 權 屋 這 <BAD> 千 足球 場地 變 暫時 醫 屋 給 給 牀 牀 二 千 星期日 開始 接收 某些 醫療 管理 要,這 威 權 屋 這 <BAD> 千 足球 場地 變 暫時 醫 屋 給 給 牀 牀 二 千 星期日 開始 接收 某些 醫療 管理 要,1.0
雷暴 地區 有時 地方 看 看不到 溫度 一 九 二 五 下 星期 六 星期日 星期 一 星期 二 陽光 乾 早 晚 涼,雷暴 地區 有時 地方 看 看不到 溫度 一 九 二 五 下 星期 六 星期日 星期 一 星期 二 陽光 乾 早 晚 涼,1.0
這些 網上 名字 容易 變 或者 取消 看不到 找 找 找不到 想 記錄 這 有 這 用 號碼 這 獨立 一 個 一 個 一 個 如果 研究 多 容易,這些 網上 名字 容易 變 或者 取消 看不到 找 找 找不到 想 記錄 這 有 這 用 號碼 這 獨立 一 個 一 個 一 個 如果 研究 多 容易,1.0
天氣 情況 雲 多 風 輕 東 南 晚 北 風 加 有時 雨 區域 地方 打雷 早 晚 涼 最 低 十 六,天氣 情況 雲 多 風 輕 東 南 晚 北 風 加 有時 雨 區域 地方 打雷 早 晚 涼 最 低 十 六,1.0
真 內 新 計算 一 數,真 內 新 計算 一 數,1.0
香港 加 新 四 新冠 肺 炎 三 月 中 全部 現在 第 一 次 一 位 計算 計算 一 零 零 四 病 病 計算 計算 下降 有 代表 病 控制 能 不,香港 加 新 四 新冠 肺 炎 三 月 中 全部 現在 第 一 次 一 位 計算 計算 一 零 零 四 病 病 計算 計算 下降 有 代表 病 控制 能 不,1.0
但是 代表 能 殺 裡面 細菌 不 ,但是 代表 能 殺 裡面 細菌 不 ,1.0
香港 買 買 負責 說 現在 內地 運貨 活 豬 下降 <MUMBLE> 成交 賣 <MUMBLE> 錢 高 貴 <MUMBLE> 要 求 政府 談 內地 <MUMBLE> 計劃 <MUMBLE> 如何 清走 消除 ,香港 買 買 負責 說 現在 內地 運貨 活 豬 下降 <MUMBLE> 成交 賣 <MUMBLE> 錢 高 貴 <MUMBLE> 要 求 政府 談 內地 <MUMBLE> 計劃 <MUMBLE> 如何 清走 消除 ,1.0
沙 這 三 四 分鐘 時間 巴 二 至 零 ,沙 這 三 四 分鐘 時間 巴 二 至 零 ,1.0
今 全部 國 安全 教育 節日 香港 規則 <MUMBLE> 上 網 放 放 多 影片 影片 裡面 有 中 聯合 主要 有權利的人 名字 J 說 香港 歸還 內地 年 年 二 三 至今為止 現在 國 安全 有 弱 感覺 保護 國 安全,今 全部 國 安全 教育 節日 香港 規則 <MUMBLE> 上 網 放 放 多 影片 影片 裡面 有 中 聯合 主要 有權利的人 名字 J 說 香港 歸還 內地 年 年 二 三 至今為止 現在 國 安全 有 弱 感覺 保護 國 安全,1.0
違法 違法 行為 如果 開始 停 管理 不能 可能 提升 危險 損害 國 安全 ,違法 違法 行為 如果 開始 停 管理 不能 可能 提升 危險 損害 國 安全 ,1.0
如果 和平 方法 沒用 這 命名 <BAD> 變 暴力 代表 正確 真 <BAD> 代表 他們 行為 不理 法 規則 香港 推 暴力 影響 違法 代表 違法,如果 和平 方法 沒用 這 命名 <BAD> 變 暴力 代表 正確 真 <BAD> 代表 他們 行為 不理 法 規則 香港 推 暴力 影響 違法 代表 違法,1.0
感覺 <MUMBLE> 犧牲 責任 <BAD> 最 嚴重 誰 內地 的,感覺 <MUMBLE> 犧牲 責任 <BAD> 最 嚴重 誰 內地 的,1.0
控告 要 求 延後 再次 裁判 有 控告 看 差不多 情況 再次 懲罰 懲罰 懲罰 法官 感覺 這 真 決定 一 月 最後 決定 <MUMBLE> 延後 <X> 不公平 ,控告 要 求 延後 再次 裁判 有 控告 看 差不多 情況 再次 懲罰 懲罰 懲罰 法官 感覺 這 真 決定 一 月 最後 決定 <MUMBLE> 延後 <X> 不公平 ,1.0
英 冠 高級 說 這 能 限制 <MUMBLE> 退出 不能 變成 接受 減少 工資 留下 仍然 隊伍 如果 不 隊伍 變成 <BAD> 人 走 走 走 現在 仍然 思考 計劃 ,英 冠 高級 說 這 能 限制 <MUMBLE> 退出 不能 變成 接受 減少 工資 留下 仍然 隊伍 如果 不 隊伍 變成 <BAD> 人 走 走 走 現在 仍然 思考 計劃 ,1.0
日本 政府 新聞 開始 加 著急 區域 地方 加 全部 日本 ,日本 政府 新聞 開始 加 著急 區域 地方 加 全部 日本 ,1.0
足球 有權利的人 會 開始 開始 董 事 會 <MUMBLE> 決定 準備 八 月 中 再次 開始 開始 下次 準備 十 一 <MUMBLE> 開始 會 ,足球 有權利的人 會 開始 開始 董 事 會 <MUMBLE> 決定 準備 八 月 中 再次 開始 開始 下次 準備 十 一 <MUMBLE> 開始 會 ,1.0
美國 新 加 超 三 萬 証實 病 有 特朗普 說 分開 分開 分開 時間 <MUMBLE> 經濟 再次 <MUMBLE> 開始,美國 新 加 超 三 萬 証實 病 有 特朗普 說 分開 分開 分開 時間 <MUMBLE> 經濟 再次 <MUMBLE> 開始,1.0
政府 權力 林鄭月娥 歡迎 全部 批准 錢 能 部分 計劃 開始 接受 申請,政府 權力 林鄭月娥 歡迎 全部 批准 錢 能 部分 計劃 開始 接受 申請,1.0
病毒 研究 專家 負責 說 新冠肺炎 事實 研究 製造 不 感覺 人類 智慧 製造 不可能,病毒 研究 專家 負責 說 新冠肺炎 事實 研究 製造 不 感覺 人類 智慧 製造 不可能,1.0
估計 下年 <BAD> 下年 中 後 新冠肺炎 可能 疫苗 短 時間 口罩 要,估計 下年 <BAD> 下年 中 後 新冠肺炎 可能 疫苗 短 時間 口罩 要,1.0
建議 政府 工作 負責 加強 學習 基本法,建議 政府 工作 負責 加強 學習 基本法,1.0
電視 直播 六 小時 網上 唱歌,電視 直播 六 小時 網上 唱歌,1.0
名字 足球 傑志 名字 <X> 確定 上 星期 六 檢測 病毒 醫院 批准 返回 家 休息 分開 坐 不要,名字 足球 傑志 名字 <X> 確定 上 星期 六 檢測 病毒 醫院 批准 返回 家 休息 分開 坐 不要,1.0
雲 加 明日 間中 地區 有 雨 早上 海 附近 霧 <X> 早 午 有 太陽 溫度 二 十 四 至 二 十 八,雲 加 明日 間中 地區 有 雨 早上 海 附近 霧 <X> 早 午 有 太陽 溫度 二 十 四 至 二 十 八,1.0
名字 報導 香港 加 冠狀 肺炎 加 有 四 <BAD> 四 外 回來 傳染 全部 數目 一 零 二 九,名字 報導 香港 加 冠狀 肺炎 加 有 四 <BAD> 四 外 回來 傳染 全部 數目 一 零 二 九,1.0
入境 屋 權力 名字 曾 晚上 入境處 離開 時 <X> 準備 出任 回答 沒,入境 屋 權力 名字 曾 晚上 入境處 離開 時 <X> 準備 出任 回答 沒,1.0
希望 多 人 能 回去 能 給 另 人 來 來,希望 多 人 能 回去 能 給 另 人 來 來,1.0
現在 氣溫 二 十 濕度 九 四,現在 氣溫 二 十 濕度 九 四,1.0
名字 入 年 <BAD> 政府 入 十 二  不同 人 接觸 有 以前 撥款 加 減 <X> 看 情況,名字 入 年 <BAD> 政府 入 十 二  不同 人 接觸 有 以前 撥款 加 減 <X> 看 情況,1.0
現在 肺 情況 多 老 服務 停 組織 關注 留意 <X> 社署 部分 服務 恢復 要,現在 肺 情況 多 老 服務 停 組織 關注 留意 <X> 社署 部分 服務 恢復 要,1.0
新聞 時間 關於 新聞 經濟,新聞 時間 關於 新聞 經濟,1.0
一 月 底 全部 學 幼兒 中 心 <X> 老 <X> <X> 保障 中 心 全部 服務 暫停 三 月 頭 政府 部分 恢復 恢復 服務 <X> <X> 中 心 關門 仍然,一 月 底 全部 學 幼兒 中 心 <X> 老 <X> <X> 保障 中 心 全部 服務 暫停 三 月 頭 政府 部分 恢復 恢復 服務 <X> <X> 中 心 關門 仍然,1.0
天氣 <X> 雲 多 間中 下雨 今 晚上 明天 早上 清涼 會 最 低 十 八  早上 高 氣溫 二 十 二,天氣 <X> 雲 多 間中 下雨 今 晚上 明天 早上 清涼 會 最 低 十 八  早上 高 氣溫 二 十 二,1.0
臺灣 北 政府 說 這 唱歌 O K 林 <MUMBLE> 真 三 月 最後 真 消防 檢測 安全 完成 完 申請 維修 未 開始 批准 這 開始 安排 真 文 說 暫停 工作 要 現在 檢測 要 ,臺灣 北 政府 說 這 唱歌 O K 林 <MUMBLE> 真 三 月 最後 真 消防 檢測 安全 完成 完 申請 維修 未 開始 批准 這 開始 安排 真 文 說 暫停 工作 要 現在 檢測 要 ,1.0
D S E 一 四 個 裡面 重要 知 寬 現在 肺 發炎 影響 一 樣 仍然 考試 ,D S E 一 四 個 裡面 重要 知 寬 現在 肺 發炎 影響 一 樣 仍然 考試 ,1.0
說 完 內地 部 部 部 等 等 各種 ,說 完 內地 部 部 部 等 等 各種 ,1.0
今 星期 部分 時間 陽光 早上 熱 會 今 星期 六 星期日 濕 濕 早上 霧 有,今 星期 部分 時間 陽光 早上 熱 會 今 星期 六 星期日 濕 濕 早上 霧 有,1.0
