ID,Decoded Sentence,Target Sentence,Accuracy
2020-02-01/008425-008565,"['民主黨', '民主黨', '祕密', '涂謹申', '涂謹申', '涂謹申', '受傷', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['今日', '暫時', '新', '加', '肺', '炎', '沒', '全部', '計算', '有', '十', '三', '仍然']",0.0
2020-02-01/012257-012371,"['天氣', '報到', '報到', '樣子', '右手', '左手', 'X', '戴', '限度', '<BAD>']","['家', '靠', '媽媽', '一', '工作', '收入', '低', '但是', '口罩', '加價']",0.0
2020-02-01/014436-014676,"['之外', '接近', '之外', '李顯龍', '弟弟', '長者', '立體長方形', '留在這兒', '獨立', '華', '樽由', '稱為', '米', '地方拿到另', '搬離', '外傭', '外傭', '自覺', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['內地', '新', '肺', '炎', '確定', '病', '加', '一', '萬', '一', '千', '八', '百', '全部', '二', '百', '五', '十', '九', '人', '死亡', '<X>', '超', '二', '七', '零', '人', '康復']",0.0
2020-02-01/023109-023272,"['保安', '韓', '詳細', '詳細', '詳細', '詳細', '流程', '平均', '留下', '撥弄是非', '犯罪', '城市', '團', '磚', '<BAD>', '<BAD>']","['聯署', '<X>', '區域', '議員', '深水埗', '區域', '議員', '估', '最', '快', '星期', '一', '召集', '緊急', '開會', '談']",0.0
2020-02-01/028700-028839,"['間中', '墨爾本', '公開', '宣誓', '明天', '歲', '投資', '笑', '冠', '大九', '大九', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['歲', '二', '十', '英國', '年輕', '名字', 'O', '說', '脫離', '歐洲', '英國', '會', '自', '權', '能']",0.0
2020-02-02/031155-031350,"['新加坡', '總統', '幼稚園', '拉下口罩', '吐痰', '康復', '批', '批', '年老', '腦', '尊業', '同步', '同步', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['真', '報紙', '著名', '嚇', '有關', '多', '勝過', '林', '有', '錯失', '比', '勝過', '加', '變', '上升', '第', '三', '有', '<MUMBLE>', '有', '<MUMBLE>', '喜歡']",0.0
2020-02-03/021513-021593,"['香港大學', '爭辯', '佐敦', '師', '餘', '被', '被', '<BAD>']","['香港', '仍然', '一', '五', '新', '人', '肺', '炎']",0.0
2020-02-03/025528-025763,"['最新', '鄭', '關係', '骯髒', '海洋公園', '比實', '救', '訓練', '換', '訓練', '沒有說', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['政府', '做', '不', '外國', '政府', '覺得', '香港', '沒', '事', '感覺', '另', '國', '跟', '做', '死亡', '死亡']",0.0
2020-02-03/032083-032159,"['蜜蜂', '溫度', '調到', '濕度', '濕', '百分比', '百份比', '<BAD>']","['今', '溫度', '一', '九', '濕', '百分比', '七', '四']",0.375
2020-02-05/007877-008143,"['加拿大', '老師', '欺騙', '欺騙', '睡覺', '冠', '說服', '字頭', '冠', '恨', '是非', '重', '重', '泰國', '犯罪', 'A', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['急', '不', '變', '急', '等', '久', '今', '知', '擔心', '有', '如果', '去', '前', '有', '某人', '感染', '有', '我', '去', '不', '說', '真']",0.0
2020-02-05/018206-018350,"['鐘響', '我的', '關係', '茘枝角', 'P', '留意', '唱歌', '搶走', '下機', '撥款', '<BAD>']","['口罩', '買', '賣', '有', '區域', '區域', '看', '通宵', '看', '天天', '看']",0.0
2020-02-07/003206-003539,"['富豪', '富豪', '將軍澳', '新冠肺炎', '隊', '隊', '兵', '都', '預訂了', '預訂了', '園', '園', '建築', '住客', '園', '坐', '全部表面抹', '需要', '即刻', '洗', '題目', '園', '摸', '自殺', '<BAD>']","['入境', '人', '入', '真', '地址', '給我', '告訴', '要', '如果', '迫', '住', '這', '全部', '資料', '寄', '會', '全部', '資料', '家人', '分開', '不要', '但是', '家人', '探訪', '不能']",0.0
2020-02-07/019728-019816,"['廣', '熱心', '旅團', '嘉賓', '<BAD>', '<BAD>']","['新聞', '時間', '看', '香港', '<MUMBLE>', '情況']",0.0
2020-02-08/007611-007804,"['相同', '進', '看得到', '奬', '奧運', '奧運', '協助', '莎蓮娜威廉斯', '股市圖', '檔案', '鏈', '首先', 'A', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['', '嚴', '管', '有關', '一', '百', '六', '一', '真', '內', '有', '香港', '人', '一', '百', '四', '三', '人']",0.0
2020-02-08/011641-011912,"['等等', '傳媒', '報道', '掩飾', '加拿大', '艱苦', '坐飛機到北京', '引渡', '馬', '悲', '痛', '未', '過關', '<BAD>']","['小心', '處理', '專業', '建議', '全部', '船', '內', '員工', '全部', '新', '肺', '炎', '化驗', '評估']",0.0
2020-02-08/020066-020235,"['意大利', '相同', '肯定', '叫', '歌', '隱瞞', '免', '親戚', '喫虧', '左肩', '尊業', '貨品', '淘汰', '<BAD>']","['有', '某些', '取', '票', '不能', '房', '內', '爭吵', '浪費', '我', '時間', '排隊', '五', '小時']",0.0
2020-02-10/013113-013335,"['利用', '下年', '加上', '兩方', '兩方', '國際', '批准', '桌', '細', '批准', '懷孕', '衝擊', '大阪', '<BAD>', '<BAD>']","['政府', '做', '有', '考慮', '清楚', '要否', '放', '酒精', '搓手', '或者', '防', '其他', '放', '放', '要否']",0.0
2020-02-10/018008-018187,"['黃色', 'S', '網', '可否', 'D', '查', '近', '近', '近', '成功', '相隔', '<BAD>']","['名字', '名字', '上', '流', '生', '生', '非', '英文', '電影', '讚賞', '好', '電影']",0.0
2020-02-11/026086-026422,"['激動', '銀行', '健身', '白色', '這個團體', '唱歌', '近', '年齢', '人們圍圈坐', '士兵', '食肆', '石', '全身', '筋', '仍', '去過', '指揮', '鑼', '競逐', '推搪', '嘔吐', '嘔吐', '嘔吐', '<BAD>', '<BAD>']","['美國', '組', '法', '控告', '內地', '軍', '會', '四', '懷疑', '信', '入', '資料', '取', '一', '點', '五', '億', '人', '個人', '資料', '北京', '外', '<MUMBLE>', '控告', '反對']",0.0
2020-02-16/027861-028124,"['康', '陳', '公司', '夏威夷', '隻', '手都拿著東西不知選那樣好', '隔', '隧道', '顏色', '椒', '摸', '律師', '輕', '亞', '亞', '摸另', '指責', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['今', '<MUMBLE>', '懷疑', '病', '或者', '衞生', '細胞', '病', '毒', '發燒', '人', '今', '這', '人', '証實', '接觸', '人', '這些', '分離', '分離', '管理']",0.0
2020-02-18/004971-005145,"['見面', '股票指數', '廣播', '珼', '孫', '加價', '加價', '退出', '殺', '殺', '順利', '陰性', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['部分', '人', '香港', '証實', '証實', '証實', '可能', '要', '等', '兩', '星期', '至', '三', '星期', '後', '入院', '這', '完', '走', '能']",0.0
2020-02-20/001142-001252,"['高雄', '奬盃', '意思', '逛街', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['另', '的士', '司機', '今', '暫時', '有', '病', '傳染']",0.0
2020-02-20/014292-014423,"['程序', '國際', '罐頭', '罐頭', '遊', '傳訊息', '環', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['計算', '昨天', '第', '一', '批准', '部分', '船', '人下船', '有', '另', '五', '百', '人', '船', '人下船']",0.0
2020-02-20/026018-026331,"['左肩', '血', '流血', '不同', '不同', '歧視', '不同', '種族', '不同', '不同', '支出', '支出', '支出', '防護', '差', '投票', '投票', '大家', '禮拜', '全身', '全身', '全身', '寫作', '書本', '書本', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['教育', '屋', '說', '香港', '全部', '學校', '最', '早', '三', '月', '十', '六', '日', '復', '課', '但是', '定', '日期', '我', '看', '情況', '病', '病', '如何', '學校', '準備', '遲', '全部', '口罩', '清理', '各種', '準備', '完成', '再', '決定']",0.0
2020-02-22/004739-004915,"['首都', '出席者', '首都', '遠處', '戒', '涼', '涼', '不滿', '不滿', '權力']","['希望', '大家', '知道', '剛才', '多謝', '國泰', '飛機', '員工', '<BAD>', '<BAD>']",0.0
2020-02-22/016647-016895,"['年齡', '分享', '公主', '公主', '用', '用', '飛去', '散播', '邨', '交給', '住', '返', '拒絕', '拒絕', '凌晨', '粒狀', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['意大利', '命令', '完', '飛機', '接收', '全部', '船', '內', '人', '返', '意大利', '發生', '死亡', '情況', '一', '死亡', '地方', '北', '威', '屬於']",0.0
2020-02-22/017018-017240,"['今年', '星', '謊言', '謊言', '眼', '湧現', '說話', '身體', '身體', '羊', '羊', '地', '檔案', '河', '羊', '博士', '<BAD>']","['今年', '一直', '新界', '北', '說', '便利店', '打劫', '打劫', '加', '十', '一', '拘捕', '三', '年輕', '有關', '多', '打劫']",0.058823529411764705
2020-02-22/019866-020039,"['玉', '火車', '每小時', '膝蓋', '膝蓋', '民眾', '房子', '任何人', '任何人', '瘋狂', '盒', '是不是', '百幾', '爬']","['想', '影響', '混亂', '研究', '模糊', '誤會', '不同', '人', '全部', '合作', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-25/023933-024222,"['他倆', '進步', '主任', '文件', '搬上', '網上', '旅行社', '匙', '看不清楚', '失望', '罷了', '所以', '晴天', '苦', '陽光', '資金', '<BAD>', '<BAD>', '<BAD>']","['出錢', '這', '甚麼', '人們', '老', '這些', '加價', '加價', '後', '或者', '醫療', '或者', '社', '福利', '出錢', '出錢', '肯定', '上升', '會']",0.0
2020-02-27/012889-013171,"['湖', '韓國', '深圳', '等於', '機構', '把', '非', '大眾', '上海', '由於', '分數', '反駁', '多謝', '娛樂', '商業', '商業', '位置', '球踢出', '互相幫助', '流傳出去', '<BAD>', '<BAD>', '<BAD>']","['國', '組', '名字', '名字', '鍾', '說', '信心', '能', '內地', '管', '能', '肺', '肺', '今', '即刻', '來源', '內地', '這', '哪裡', '來', '肯定', '內地', '不一定']",0.0
2020-02-29/009754-010051,"['天文臺', '繞', '稱呼', '廣', '鸚鵡', '生', '冠冕', '鑽石', '湧浪', '書', '太古', '火', '熟悉', '火', '生意', 'N', '鐘', '鐘', '鹹', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['真', '真', '某些', '專業', '發現', '新型冠狀', '肺', '炎', '人', '傳', '人', '容易', '多', '人', '人', '傳染', '感染', '少', '直接', '接觸', '人', '感染', '少']",0.0
2020-03-01/007862-008109,"['泰國', '垃圾', '桶', '青年', '多點', '民眾', '讀書', '讀書', '影片', '供給', '員工', '平均', '寄', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['懷疑', '有', '兩', '定', '有', '肺', '炎', '有', '兩', '懷疑', '公主', '鑽石', '化驗', '有', '病', '毒', '防']",0.0
2020-03-01/011098-011223,"['商場', '識做', '往常', '煙向上升', '人民', '由下至上', '從頭到尾受影響']","['知道', '有', '過程', '解剖', '<BAD>', '這', '研究']",0.0
2020-03-01/013596-013856,"['鐵', '忍耐', '桶', '丟', '肥', '橋', '橋', '短片', '等待', '每天', '視野', '指向', 'A', '使用', '雞', '中文', '救', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['目的', '鼓勵', '自', '控制', '錢', '支出', '有', '<MUMBLE>', '想', '申請', '困難', '最', '困難', '甚麼', '找', '錢', '合理', '有', '貨', '布', '各種']",0.0
2020-03-02/008859-008959,"['長大', '反應', '踴躍', '穩定', '穩定', '危害', '<BAD>', '<BAD>', '<BAD>']","['有', '部分', '工作', '要', '做', '家', '內', '不', '方便']",0.0
2020-03-02/018685-018871,"['屯門', '建築物', '莫斯科', '紅場', '電車', '橋', '橋', '反口', '留下', 'T', '幼稚園', 'K', 'K', '救', 'K', 'A', '年級', 'P']","['金', '管', '屋', '說', '樓', '或者', '反口', '反口', '真', '真', '要', '時間', '看', '要否', '給', '容易', '計劃', '規則']",0.05555555555555555
2020-03-02/026925-027090,"['表現', '代理', '肯定', '快點', '講', '提供', '將', '將', '昂貴', '昂貴', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['瞭解', '詳細', '康', '文', '全部', '資源', '附近', '街', '或者', '地方', '起名', '名字', '會', '<MUMBLE>']",0.0
2020-03-03/008737-008970,"['將軍澳', '富豪', '將軍澳', '人來', '大埔', '大埔', '房', '房', '管', '乾淨', '派', '引致', '陳', '各處爆發', '躲藏', '位於', '地點', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['要', '想', '快', '安排', '返', '香港', '檢測', '工', '聯', '會', '建', '規則', '組', '覺得', '要', '兩地', '這裡', '遠', '要', '接收', '接收', '返', '香港', '要']",0.0
2020-03-05/032346-032489,"['巴西', '開香檳', '環境黑', '煙向上升', '站立的人', '拍', '擔遮', '一邊擔遮一邊喫飯', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['風', '東', '未來', '兩', '天', '三', '天', '變', '暖', '早', '晚', '霧', '有']",0.0
2020-03-06/012384-012552,"['衞生署', '後面', '直抵', '直抵', '盡力', '剪綵', '環', '騙', '騙', '角', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['今', '計算', '全部', '五', '百', '全部', '計算', '計算', '超', '一', '半', '西', '北', '地方']",0.0
2020-03-06/027596-027745,"['瑞士', '主播', '雲', '院舍', '拿着槍', '戴着頭盔', '看守', '戴', '表達', '段']","['如果', '一', '點', '四', '死亡', '百分之', '意思', '多', '多', '多']",0.0
2020-03-08/014718-014890,"['整個', '溝通', '呼吸', '最喜歡', '試', '平均', '分之', '文化', '電影', '要否', '公開', '<BAD>', '<BAD>']","['今', '真', '真', '真', '泊船', '時間', '不知', '知', '我們', '急', '快', '送', '回家']",0.0
2020-03-09/022297-022528,"['樹', '奇異鳥', '退', '心', '隱藏', '隱藏', '黑', '青年', '偷', '那邊', '放棄', '偷', '偷', '入油', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['新', '公開', '有關', '買', '超', '一', '千', '幾', '千', '倍', '倍', '真', '名字', '名字', '興', '有關', '穩定', '仍然', '股票', '高', '二', '十', '百分比', '<MUMBLE>']",0.0
2020-03-09/024210-024411,"['基本', '相同', '答', '答', '買賣', '慢', '紅磡', '程度', '對我', '朋友', '不能夠', '勁多', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['可能', '有', '部分', '有', '用', '能', '例如', '聯絡', '已經', '海', '關', '同', '事', '幫', '幫', '有']",0.0
2020-03-11/000661-000905,"['表演', '唱歌', '唱歌', '自行', '圍', '祕密外出', '海洋公園', '嚴厲', '嘗試', '被帶到', '美元', '肥', '歌', '富貴', '港元', '上船', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['多', '國', '旅遊', '限制', '嚴重', '影響', '旅行團', '公司', '經濟', '組', '希望', '政府', '宣傳', '多', '另', '補', '解決', '困難', '方法', '規則', '計劃']",0.0
2020-03-11/029752-029847,"['勝利', '提供', '人大常委會', '天空', '太陽照射', '捉來', '不明白發生何故', '<BAD>', '<BAD>']","['死亡', '死亡', '人', '家', '人', '有關', '人', '說', '道歉']",0.0
2020-03-14/004354-004680,"['別人', '頭髮', '躲藏', '聽從', '同等', '發訊息', '曬太陽', '抽', '果', '不知道', '病人', '園', '對', '對', '仁', '外賣', '訪問', '訪問', '壞心腸', '出任', '貨送到']","['說', '有否', '機會', '傳染', '真', '困難', '說', '入院', '全部', '控告', '呼吸道', '感染', '情況', '看', '沒', '發燒', '沒', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-03-14/005985-006209,"['泰國', '衣服', '推車', '委員會', '委員會', '提', '江', '管制', '拜', '送上', '播出', '許願', '資金周轉', '資金周轉', '恐嚇', '火車', '人流', '<BAD>', '<BAD>']","['海', '關', '賣', '賣', '發現', '四', '口罩', '菌', '超', '要求', '拘捕', '四', '藥', '房', '負責人', '說', '全部', '用', '不能']",0.0
2020-03-14/011505-011657,"['人民', '巴', '天晴', '炎熱', '炎熱', '男', '男', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['政府', '說', '有', '關', '各地', '各地', '各地', '情況', '會', '看', '如何', '變', '方法', '會']",0.0
2020-03-14/018136-018254,"['得', '那', '青年', '青年', '吐口水', '社會', '用棒子在鼻子攪拌', '旅遊車', '駛去', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['三', '月', '變', '暖', '多', '各區', '各區', '各區', '花', '花', '花', '等', '恢復', '看', '花']",0.0
2020-03-16/018916-019187,"['滙豐', '國際', '利息', '常', '持續', '持續', '蝴蝶', '沒事', '寬鬆', '事務', '系統', '跌', '視像', '恆生', '亞', '亞', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['政府', '快', '下', '星期', '二', '命令', '第', '二', '飛機', '到', '湖北', '香港', '幹涉', '接收', '接收', '武漢', '武漢', '城巿', '全部', '計算', '計算', '七', '百', '幾']",0.0
2020-03-18/007269-007403,"['教', '商場', '各自飛到', '各自飛到', '多輛車輛行駛到達', '領事', '領事', '<BAD>', '<BAD>', '<BAD>']","['給', '能', '檢測', '化驗', '樣本樽', '給', '給', '給', '人人', '能']",0.0
2020-03-18/019017-019295,"['實驗', '鄭', '集會', '聽', '成立', '立刻', '成立', '全個範圍', '組織', '沙', '間隔', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['美國', '推卸', '責任', '代', '減', '輕', '美國', '內', '病', '不', '外', '交', '部', '發表', '說', '提醒', '美國', '要', '變', '防', '工作', '處理', '好']",0.0
2020-03-19/000383-000581,"['教育', '評審', '小孩', '文憑', '付款', '飛機到達', '開會', '捉到人', '上學', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['再', '加', '人', '一', '六', '証實', '肺', '新型冠狀', '再', '包括', '有', '孕婦', '計算', '累計', '超', '二', '百']",0.0
2020-03-19/013822-014138,"['劉', '專注', '水車噴水', '故意', '質素', '水車噴水', '無錯', '法例', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['計算', '全部', '二', '千', '六', '百', '死亡', '一', '百', '零', '四', '學校', '星期', '五', '下午', '即', '課', '停', '五', '月', '六', '月', '考試', '取消', '取消', '會', '包括', '中學', '公開', '這', '考試']",0.0
2020-03-20/018040-018164,"['長大', '丟棄', '感覺', '很難', '打擊', '打擊', '以膝蓋壓頸', '這個人', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['香港', '股票', '反', '上升', '一', '千', '一', '星期', '跌', '半', '一', '樣']",0.0
2020-03-23/002381-002473,"['晴天', '晴天', '晴天', '超越', '太陽照射', '清涼', '<BAD>', '<BAD>', '<BAD>']","['政府', '權', '林', '月', '說', '要', '真', '限制', '限制']",0.0
2020-03-23/008811-008948,"['人民銀行', '數量', '各位', '釋放', '機器', '嚴', '監獄', '塞車', '<BAD>']","['要', '想', '問', '大家', '善良', '心', '能', '看', '努力']",0.0
2020-03-23/020664-020843,"['民主黨', '亞', '套用', '審判', '剛剛', '曼哈頓', '非法', '單日', '遊行', '突破', '打人', '<BAD>', '<BAD>', '<BAD>']","['第', '一', '關', '違反', '命令', '家', '留', '提訊', '被告', '假', '地址', '禁止', '釋放', '暫時']",0.0
2020-03-23/027254-027333,"['橫額', '張口', '花', '舞臺', '打鼔', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['要求', '全部', '美國', '入境', '先', '要', '自', '隔離', '留']",0.0
2020-03-24/021473-021661,"['白色', '富有', '藉口', '教育', '機器', '合符', '改過', '機器', '福', '逛街', '免費', '建立', '原本', '解決', '<BAD>']","['香港', '有權力的人', '林', '月', '行政', '以前', '會議', '以前', '說', '名字', '張', '法', '主', '他', '厲害']",0.0
2020-03-25/009415-009508,"['焦點', '新型冠狀', '情形', '表達']","['政府', '努力', '管理', '情況']",0.0
2020-03-25/009807-010134,"['所謂', '圖書館', '書', '來電', '忽然', '首長', '表格', '兩種不同規則', '閉幕', '老闆', '有關聯', '何文田', '場', '場', '廿幾', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['政府', '電腦', '各種', '活動', '管理', '但是', '工作', '飛機', '人', '多', '人', '回來', '上', '星期', '回來', '人', '每天', '減少', '昨天', '三', '千', '過程', '第', '三', '藍', '牙', '手帶', '代替', '最近', '手帶', '管理', '手帶']",0.0
2020-03-25/016215-016365,"['等待', '稅', '基本', '批評', '外來', '蓋印', '單據', '單據', '叻', '網上', '佐敦', '<BAD>', '<BAD>']","['政府', '繼續', '考慮', '給', '飛機', '接收', '五', '百', '湖', '北', '人', '回來', '香港']",0.0
2020-03-25/017149-017350,"['南韓', '衫', '層', '上網', '飛機飛到', '代替', '暴力', '何', '福', '福', '福', '明後', '原本', '丁', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['政府', '繼續', '兩', '天', '真', '級', '四', '飛機', '飛機', '飛去', '湖', '北', '接收', '五', '百', '坐', '香港', '人', '四', '分', '一', '歲', '十', '六', '以下']",0.0
2020-03-26/026801-026947,"['站立', '旅客入境', '加油', '立刻', '環境', '是', '貴', '抑制', '付出', '侍應']","['方便', '時間', '節省', '能', '事實', '排隊', '沒', '清理', '工作', '很好']",0.0
2020-03-27/012169-012322,"['從鼻子噴出來', '從口中噴出來', '股票', '吸入', '不知道', '籌', '轉移', '直至', '我現在增加', '<BAD>', '<BAD>', '<BAD>']","['任何', '人', '想', '好', '工作', '仍然', '我們', '聆聽', '建議', '視乎', '知道', '情況']",0.0
2020-03-27/025501-025801,"['富豪', '楊', 'E', '明瞭', '駛去', '紙', 'G', '觀塘', '問', '亞洲', '額探', '屬下', '亞洲', '獲利', '出席', '口探', '房', '房', '房', '這兒', '空']","['廣東', '加強', '出入', '防', '澳門', '人', '湧到', '通宵', '湧到', '想', '新', '計劃', '<MUMBLE>', '以前', '快', '到', '珠海', '駐', '澳門', '記者', '請看']",0.0
