ID,Decoded Sentence,Target Sentence,Accuracy
2020-02-02/031155-031350,"['上網', '宣傳', '文件夾', '人', '代表', '要', '批', '全部', '有', '豬', '部門', '華', '香港', '安全', '法', '規則', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['真', '報紙', '著名', '嚇', '有關', '多', '勝過', '林', '有', '錯失', '比', '勝過', '加', '變', '上升', '第', '三', '有', '<MUMBLE>', '有', '<MUMBLE>', '喜歡']",0.045454545454545456
2020-02-03/021513-021593,"['香港', '今', '新', '肺', '炎', '加', '三', '<BAD>']","['香港', '仍然', '一', '五', '新', '人', '肺', '炎']",0.125
2020-02-03/025528-025763,"['政府', '計劃', '錢', '圓形', '地方', '地方', '家', '牀', '幾', '年', '開始', '最', '營業', '海洋公園', '未', '思考', '全部', '一', '月', '三', '十', '二']","['政府', '做', '不', '外國', '政府', '覺得', '香港', '沒', '事', '感覺', '另', '國', '跟', '做', '死亡', '死亡', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.045454545454545456
2020-02-03/032083-032159,"['現在', '溫度', '三', '十', '七', '七', '八', '七']","['今', '溫度', '一', '九', '濕', '百分比', '七', '四']",0.125
2020-02-05/007877-008143,"['宿舍', '名字', '李家超', '再', '政府', '負責', '反對', '新', '開始', '要', '誤會', '新聞', '七', '要', '接受', '禁止', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['急', '不', '變', '急', '等', '久', '今', '知', '擔心', '有', '如果', '去', '前', '有', '某人', '感染', '有', '我', '去', '不', '說', '真']",0.0
2020-02-05/018206-018350,"['地方', '管', '沒', '快', '給', '有', '某人', '內地', '政府', '考慮', '負責', '說', '影響']","['口罩', '買', '賣', '有', '區域', '區域', '看', '通宵', '看', '天天', '看', '<BAD>', '<BAD>']",0.0
2020-02-07/003206-003539,"['國歌法', '標題', '全部', '人', '完', '不一定', '旺角', '名字', '反', '真', '檢測', '肺', '炎', '嚴重', '回家', '負責', '英', '<MUMBLE>', '工作', '尊重', '影響', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['入境', '人', '入', '真', '地址', '給我', '告訴', '要', '如果', '迫', '住', '這', '全部', '資料', '寄', '會', '全部', '資料', '家人', '分開', '不要', '但是', '家人', '探訪', '不能']",0.0
2020-02-07/019728-019816,"['今', '溫度', '二', '二', '濕', '八', '三', '三']","['新聞', '時間', '看', '香港', '<MUMBLE>', '情況', '<BAD>', '<BAD>']",0.0
2020-02-08/007611-007804,"['再', '參加', '足球', '法國', '組', '全部', '取得', '想', '非法', '全部', '部分', '管理', '管理', '病毒', '有', '<BAD>', '<BAD>', '<BAD>']","['', '嚴', '管', '有關', '一', '百', '六', '一', '真', '內', '有', '香港', '人', '一', '百', '四', '三', '人']",0.0
2020-02-08/011641-011912,"['<MUMBLE>', '請看', '內地', '政府', '權力', '做', '新冠肺炎', '變', '加', '限制', '困難', '可能', '差不多', '六', '百', '零', '二', '變', '能', '能', '能']","['小心', '處理', '專業', '建議', '全部', '船', '內', '員工', '全部', '新', '肺', '炎', '化驗', '評估', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-08/020066-020235,"['如果', '另', '兩', '倍', '四', '男', '想', '入', '後', '後', '今', '暫時', '重要', '<BAD>']","['有', '某些', '取', '票', '不能', '房', '內', '爭吵', '浪費', '我', '時間', '排隊', '五', '小時']",0.0
2020-02-10/013113-013335,"['政府', '錢', '給', '尖沙咀', '撥款', '關於', '撥款', '自', '願意', '批准', '香港', '安全', '這', '估', '日期', '四', '月', '五', '十', '三']","['政府', '做', '有', '考慮', '清楚', '要否', '放', '酒精', '搓手', '或者', '防', '其他', '放', '放', '要否', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.05
2020-02-10/018008-018187,"['再', '給', '三', '現在', '這', '<MUMBLE>', '情況', '全部', '過去', '醫院', '計劃', '給', '看', '後', '影響', '禁止']","['名字', '名字', '上', '流', '生', '生', '非', '英文', '電影', '讚賞', '好', '電影', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-11/026086-026422,"['警察', '說', '拘捕', '家人', '退步', '滑板車', '禁止', '不妥', '不妥', '內', '警察', '全部', '警察', '附近', '附近', '水', '停', '有', '警察', '學校', '店鋪', '後', '一', '六', '星期']","['美國', '組', '法', '控告', '內地', '軍', '會', '四', '懷疑', '信', '入', '資料', '取', '一', '點', '五', '億', '人', '個人', '資料', '北京', '外', '<MUMBLE>', '控告', '反對']",0.0
2020-02-16/027861-028124,"['這', '美國', '全部', '歧視', '他', '要', '最後', '十', '十', '香港', '<MUMBLE>', '要', '林', '月', '他', '<MUMBLE>', '寫', '真', '責任', '責任', '想', '能']","['今', '<MUMBLE>', '懷疑', '病', '或者', '衞生', '細胞', '病', '毒', '發燒', '人', '今', '這', '人', '証實', '接觸', '人', '這些', '分離', '分離', '管理', '<BAD>']",0.0
